Name,Lead,Non-Lead,Unknown,total_points,known_points,pct_known_lead,pct_known_nonlead,pct_unknown,pct_known_lead_total,pct_known_nonlead_total
McGuire Veterans Hospital,0,148,25,173,148,0.0,1.0,0.14450867052023122,0.0,0.8554913294797688
Midlothian,0,317,841,1158,317,0.0,1.0,0.7262521588946459,0.0,0.27374784110535405
Monroe Ward,4,125,365,494,129,0.031007751937984496,0.9689922480620154,0.7388663967611336,0.008097165991902834,0.25303643724696356
Monument Avenue Park,2,40,321,363,42,0.047619047619047616,0.9523809523809523,0.8842975206611571,0.005509641873278237,0.11019283746556474
Mosby,4,18,244,266,22,0.18181818181818182,0.8181818181818182,0.9172932330827067,0.015037593984962405,0.06766917293233082
Museums,0,66,72,138,66,0.0,1.0,0.5217391304347826,0.0,0.4782608695652174
Newtowne West,14,52,127,193,66,0.21212121212121213,0.7878787878787878,0.6580310880829016,0.07253886010362694,0.2694300518134715
North Highland Park,41,101,1130,1272,142,0.2887323943661972,0.7112676056338029,0.8883647798742138,0.03223270440251572,0.07940251572327044
Northern Barton Heights,87,107,1080,1274,194,0.4484536082474227,0.5515463917525774,0.847723704866562,0.06828885400313972,0.08398744113029827
Northrop,2,92,207,301,94,0.02127659574468085,0.9787234042553191,0.6877076411960132,0.006644518272425249,0.30564784053156147
Oak Grove,19,86,837,942,105,0.18095238095238095,0.819047619047619,0.8885350318471338,0.020169851380042462,0.09129511677282377
Oakwood,12,38,461,511,50,0.24,0.76,0.9021526418786693,0.023483365949119372,0.07436399217221135
Oakwood Cemetery,0,0,14,14,0,0.0,0.0,1.0,0.0,0.0
Old Town Manchester,0,165,222,387,165,0.0,1.0,0.5736434108527132,0.0,0.4263565891472868
Oregon Hill,11,167,433,611,178,0.06179775280898876,0.9382022471910112,0.7086743044189853,0.01800327332242226,0.2733224222585925
Oxford,1,140,457,598,141,0.0070921985815602835,0.9929078014184397,0.7642140468227425,0.0016722408026755853,0.23411371237458195
Parnell Industrial Area,0,34,77,111,34,0.0,1.0,0.6936936936936937,0.0,0.3063063063063063
Peter Paul,10,19,295,324,29,0.3448275862068966,0.6551724137931034,0.9104938271604939,0.030864197530864196,0.05864197530864197
Pine Camp,0,0,16,16,0,0.0,0.0,1.0,0.0,0.0
Piney Knolls,0,209,598,807,209,0.0,1.0,0.7410161090458488,0.0,0.2589838909541512
Pocoshock,0,9,168,177,9,0.0,1.0,0.9491525423728814,0.0,0.05084745762711865
Powhite Park,0,3,52,55,3,0.0,1.0,0.9454545454545454,0.0,0.05454545454545454
Providence Park,49,50,507,606,99,0.494949494949495,0.5050505050505051,0.8366336633663366,0.08085808580858085,0.08250825082508251
Randolph,31,390,753,1174,421,0.07363420427553444,0.9263657957244655,0.641396933560477,0.026405451448040886,0.3321976149914821
Reedy Creek,22,38,386,446,60,0.36666666666666664,0.6333333333333333,0.8654708520179372,0.04932735426008968,0.08520179372197309
Rosedale,12,35,462,509,47,0.2553191489361702,0.7446808510638298,0.9076620825147348,0.023575638506876228,0.068762278978389
Sauer's Gardens,15,104,430,549,119,0.12605042016806722,0.8739495798319328,0.7832422586520947,0.0273224043715847,0.1894353369763206
Scott's Addition,35,110,489,634,145,0.2413793103448276,0.7586206896551724,0.7712933753943217,0.055205047318611984,0.17350157728706625
Sherwood Park,1,44,276,321,45,0.022222222222222223,0.9777777777777777,0.8598130841121495,0.003115264797507788,0.13707165109034267
Shockoe Bottom,2,187,343,532,189,0.010582010582010581,0.9894179894179894,0.6447368421052632,0.0037593984962406013,0.35150375939849626
Shockoe Slip,0,59,99,158,59,0.0,1.0,0.6265822784810127,0.0,0.37341772151898733
South Garden,0,93,808,901,93,0.0,1.0,0.8967813540510544,0.0,0.10321864594894561
Southampton,0,82,334,416,82,0.0,1.0,0.8028846153846154,0.0,0.1971153846153846
Southern Barton Heights,12,97,311,420,109,0.11009174311926606,0.8899082568807339,0.7404761904761905,0.02857142857142857,0.23095238095238096
Southwood,0,40,349,389,40,0.0,1.0,0.897172236503856,0.0,0.10282776349614396
Stadium,27,15,205,247,42,0.6428571428571429,0.35714285714285715,0.8299595141700404,0.10931174089068826,0.06072874493927125
Stonewall Court,4,21,349,374,25,0.16,0.84,0.9331550802139037,0.0106951871657754,0.05614973262032086
Stony Point,0,174,155,329,174,0.0,1.0,0.47112462006079026,0.0,0.5288753799392097
Stratford Hills,0,295,1325,1620,295,0.0,1.0,0.8179012345679012,0.0,0.18209876543209877
Swansboro,14,264,945,1223,278,0.050359712230215826,0.9496402877697842,0.7726901062959934,0.011447260834014717,0.21586263286999183
Swansboro West,17,60,678,755,77,0.22077922077922077,0.7792207792207793,0.8980132450331125,0.022516556291390728,0.07947019867549669
Swanson,0,120,171,291,120,0.0,1.0,0.5876288659793815,0.0,0.41237113402061853
The Diamond,0,188,315,503,188,0.0,1.0,0.6262425447316103,0.0,0.37375745526838966
The Fan,529,470,4159,5158,999,0.5295295295295295,0.47047047047047047,0.806320279177976,0.10255913144629701,0.09112058937572702
The Museum District,296,242,2277,2815,538,0.550185873605948,0.44981412639405205,0.8088809946714032,0.10515097690941386,0.08596802841918295
Three Chopt,4,201,1284,1489,205,0.01951219512195122,0.9804878048780488,0.8623237071860309,0.002686366689053056,0.13498992612491606
Union Hill,29,152,502,683,181,0.16022099447513813,0.8397790055248618,0.7349926793557833,0.0424597364568082,0.2225475841874085
University of Richmond,0,2,160,162,2,0.0,1.0,0.9876543209876543,0.0,0.012345679012345678
Upper Shockoe Valley,0,41,72,113,41,0.0,1.0,0.6371681415929203,0.0,0.36283185840707965
VCU,10,126,243,379,136,0.07352941176470588,0.9264705882352942,0.6411609498680739,0.026385224274406333,0.3324538258575198
Virginia Union,11,61,498,570,72,0.1527777777777778,0.8472222222222222,0.8736842105263158,0.01929824561403509,0.10701754385964912
Walmsley,0,139,333,472,139,0.0,1.0,0.7055084745762712,0.0,0.2944915254237288
Warwick,0,87,307,394,87,0.0,1.0,0.7791878172588832,0.0,0.22081218274111675
Washington Park,0,59,362,421,59,0.0,1.0,0.8598574821852731,0.0,0.14014251781472684
Westhampton,3,53,763,819,56,0.05357142857142857,0.9464285714285714,0.9316239316239316,0.003663003663003663,0.06471306471306472
Westlake Hills,0,78,350,428,78,0.0,1.0,0.8177570093457944,0.0,0.1822429906542056
Westover,0,85,869,954,85,0.0,1.0,0.910901467505241,0.0,0.08909853249475891
Westover Hills,4,77,474,555,81,0.04938271604938271,0.9506172839506173,0.8540540540540541,0.007207207207207207,0.13873873873873874
Westover Hills West,0,56,199,255,56,0.0,1.0,0.7803921568627451,0.0,0.2196078431372549
Whitcomb,1,35,601,637,36,0.027777777777777776,0.9722222222222222,0.9434850863422292,0.0015698587127158557,0.054945054945054944
Willow Oaks,0,44,193,237,44,0.0,1.0,0.8143459915611815,0.0,0.18565400843881857
Willow lawn,2,49,484,535,51,0.0392156862745098,0.9607843137254902,0.9046728971962616,0.003738317757009346,0.09158878504672897
Wilton,1,67,373,441,68,0.014705882352941176,0.9852941176470589,0.8458049886621315,0.0022675736961451248,0.15192743764172337
Windsor,0,1,70,71,1,0.0,1.0,0.9859154929577465,0.0,0.014084507042253521
Windsor Farms,2,48,569,619,50,0.04,0.96,0.9192245557350566,0.0032310177705977385,0.07754442649434572
Woodhaven,0,28,532,560,28,0.0,1.0,0.95,0.0,0.05
Woodland Heights,43,100,709,852,143,0.3006993006993007,0.6993006993006993,0.8321596244131455,0.05046948356807512,0.11737089201877934
Woodville,4,32,170,206,36,0.1111111111111111,0.8888888888888888,0.8252427184466019,0.019417475728155338,0.1553398058252427
Worthington,0,58,423,481,58,0.0,1.0,0.8794178794178794,0.0,0.12058212058212059
