Name,Lead,Non-Lead,Unknown,total_points,known_points,pct_lead_total,pct_nonlead_total,pct_unknown,pct_lead_known,pct_nonlead_known,avg_year_built,count_year_samples,avg_house_age
Green Park,3,13,276,292,16,0.010273972602739725,0.04452054794520548,0.9452054794520548,0.1875,0.8125,1942.4536082474226,291,82.54639175257739
Hickory Hill,0,61,393,454,61,0.0,0.1343612334801762,0.8656387665198237,0.0,1.0,1957.9933481152993,451,67.00665188470066
Highland Park Southern Tip,67,109,684,860,176,0.07790697674418605,0.12674418604651164,0.7953488372093023,0.3806818181818182,0.6193181818181818,1943.6222222222223,855,81.37777777777774
Highland Terrace,18,32,369,419,50,0.04295942720763723,0.07637231503579953,0.8806682577565632,0.36,0.64,1935.8824940047962,417,89.11750599520383
Hillside Court,0,13,257,270,13,0.0,0.04814814814814815,0.9518518518518518,0.0,1.0,1951.5977443609022,266,73.4022556390978
Hioaks,0,92,94,186,92,0.0,0.4946236559139785,0.5053763440860215,0.0,1.0,1981.97311827957,186,43.02688172043008
Hollywood Cemetery,0,18,26,44,18,0.0,0.4090909090909091,0.5909090909090909,0.0,1.0,1957.7045454545455,44,67.2954545454545
Huguenot,2,505,1224,1731,507,0.0011554015020219526,0.29173887926054304,0.707105719237435,0.0039447731755424065,0.9960552268244576,1976.8497679814386,1724,48.15023201856138
Jackson Ward,14,102,692,808,116,0.017326732673267328,0.12623762376237624,0.8564356435643564,0.1206896551724138,0.8793103448275862,1909.2931472081218,788,115.70685279187819
Jahnke,0,338,619,957,338,0.0,0.35318704284221525,0.6468129571577848,0.0,1.0,1982.981072555205,951,42.018927444795054
Jeff Davis,1,116,1407,1524,117,0.0006561679790026247,0.07611548556430446,0.9232283464566929,0.008547008547008548,0.9914529914529915,1953.39745308311,1492,71.6025469168901
John Marshall,3,27,217,247,30,0.012145748987854251,0.10931174089068826,0.8785425101214575,0.1,0.9,1954.1255060728745,247,70.87449392712551
Laburnum Park,20,37,196,253,57,0.07905138339920949,0.14624505928853754,0.7747035573122529,0.3508771929824561,0.6491228070175439,1927.642857142857,252,97.35714285714289
Magnolia Industrial Center,0,22,40,62,22,0.0,0.3548387096774194,0.6451612903225806,0.0,1.0,1953.8688524590164,61,71.13114754098365
Malvern Gardens,11,32,592,635,43,0.01732283464566929,0.050393700787401574,0.9322834645669291,0.2558139534883721,0.7441860465116279,1946.2031496062991,635,78.79685039370088
Manchester,0,183,333,516,183,0.0,0.3546511627906977,0.6453488372093024,0.0,1.0,1959.1629778672032,497,65.83702213279685
Mary Munford,2,37,433,472,39,0.00423728813559322,0.07838983050847458,0.9173728813559322,0.05128205128205128,0.9487179487179487,1946.747323340471,467,78.25267665952902
Maury,0,36,155,191,36,0.0,0.18848167539267016,0.8115183246073299,0.0,1.0,1952.627659574468,188,72.372340425532
Maymont,4,18,408,430,22,0.009302325581395349,0.04186046511627907,0.9488372093023256,0.18181818181818182,0.8181818181818182,1949.2167832167831,429,75.78321678321686
Maymont Park,0,4,20,24,4,0.0,0.16666666666666666,0.8333333333333334,0.0,1.0,1893.0,23,132.0
McGuire,1,75,511,587,76,0.0017035775127768314,0.12776831345826234,0.8705281090289608,0.013157894736842105,0.9868421052631579,1953.2064846416383,586,71.79351535836167
McGuire Manor,0,55,387,442,55,0.0,0.1244343891402715,0.8755656108597285,0.0,1.0,1963.104783599089,439,61.89521640091107
McGuire Veterans Hospital,0,148,25,173,148,0.0,0.8554913294797688,0.14450867052023122,0.0,1.0,1986.1686046511627,172,38.831395348837304
Midlothian,0,317,841,1158,317,0.0,0.27374784110535405,0.7262521588946459,0.0,1.0,1972.718,1000,52.281999999999925
Monroe Ward,4,125,365,494,129,0.008097165991902834,0.25303643724696356,0.7388663967611336,0.031007751937984496,0.9689922480620154,1917.979674796748,492,107.02032520325201
Monument Avenue Park,2,40,321,363,42,0.005509641873278237,0.11019283746556474,0.8842975206611571,0.047619047619047616,0.9523809523809523,1955.8365650969529,361,69.16343490304712
Mosby,4,18,244,266,22,0.015037593984962405,0.06766917293233082,0.9172932330827067,0.18181818181818182,0.8181818181818182,1959.751879699248,266,65.2481203007519
Museums,0,66,72,138,66,0.0,0.4782608695652174,0.5217391304347826,0.0,1.0,1951.325925925926,135,73.67407407407404
Newtowne West,14,52,127,193,66,0.07253886010362694,0.2694300518134715,0.6580310880829016,0.21212121212121213,0.7878787878787878,1967.0894736842106,190,57.91052631578941
North Highland Park,41,101,1130,1272,142,0.03223270440251572,0.07940251572327044,0.8883647798742138,0.2887323943661972,0.7112676056338029,1936.4477848101267,1264,88.55221518987332
Northern Barton Heights,87,107,1080,1274,194,0.06828885400313972,0.08398744113029827,0.847723704866562,0.4484536082474227,0.5515463917525774,1929.2748031496062,1270,95.72519685039379
Northrop,2,92,207,301,94,0.006644518272425249,0.30564784053156147,0.6877076411960132,0.02127659574468085,0.9787234042553191,1945.84,300,79.16000000000008
Oak Grove,19,86,837,942,105,0.020169851380042462,0.09129511677282377,0.8885350318471338,0.18095238095238095,0.819047619047619,1945.2556879739977,923,79.74431202600226
Oakwood,12,38,461,511,50,0.023483365949119372,0.07436399217221135,0.9021526418786693,0.24,0.76,1940.1873767258382,507,84.81262327416175
Oakwood Cemetery,0,0,14,14,0,0.0,0.0,1.0,0.0,0.0,1935.8,10,89.20000000000005
Old Town Manchester,0,165,222,387,165,0.0,0.4263565891472868,0.5736434108527132,0.0,1.0,1959.6675900277007,361,65.33240997229927
Oregon Hill,11,167,433,611,178,0.01800327332242226,0.2733224222585925,0.7086743044189853,0.06179775280898876,0.9382022471910112,1936.2615131578948,608,88.7384868421052
Oxford,1,140,457,598,141,0.0016722408026755853,0.23411371237458195,0.7642140468227425,0.0070921985815602835,0.9929078014184397,1970.3735343383585,597,54.62646566164153
Parnell Industrial Area,0,34,77,111,34,0.0,0.3063063063063063,0.6936936936936937,0.0,1.0,1949.8584905660377,106,75.14150943396226
Peter Paul,10,19,295,324,29,0.030864197530864196,0.05864197530864197,0.9104938271604939,0.3448275862068966,0.6551724137931034,1941.8885448916408,323,83.11145510835922
Pine Camp,0,0,16,16,0,0.0,0.0,1.0,0.0,0.0,1904.0625,16,120.9375
Piney Knolls,0,209,598,807,209,0.0,0.2589838909541512,0.7410161090458488,0.0,1.0,1964.072319201995,802,60.927680798004985
Pocoshock,0,9,168,177,9,0.0,0.05084745762711865,0.9491525423728814,0.0,1.0,1954.9485714285715,175,70.05142857142846
Powhite Park,0,3,52,55,3,0.0,0.05454545454545454,0.9454545454545454,0.0,1.0,2008.2407407407406,54,16.759259259259352
Providence Park,49,50,507,606,99,0.08085808580858085,0.08250825082508251,0.8366336633663366,0.494949494949495,0.5050505050505051,1945.5890183028287,601,79.41098169717134
Randolph,31,390,753,1174,421,0.026405451448040886,0.3321976149914821,0.641396933560477,0.07363420427553444,0.9263657957244655,1969.1815856777494,1173,55.818414322250646
Reedy Creek,22,38,386,446,60,0.04932735426008968,0.08520179372197309,0.8654708520179372,0.36666666666666664,0.6333333333333333,1940.2415349887133,443,84.75846501128672
Rosedale,12,35,462,509,47,0.023575638506876228,0.068762278978389,0.9076620825147348,0.2553191489361702,0.7446808510638298,1945.8880157170922,509,79.11198428290777
Sauer's Gardens,15,104,430,549,119,0.0273224043715847,0.1894353369763206,0.7832422586520947,0.12605042016806722,0.8739495798319328,1948.4761904761904,546,76.52380952380963
Scott's Addition,35,110,489,634,145,0.055205047318611984,0.17350157728706625,0.7712933753943217,0.2413793103448276,0.7586206896551724,1937.3775671406004,633,87.62243285939962
Sherwood Park,1,44,276,321,45,0.003115264797507788,0.13707165109034267,0.8598130841121495,0.022222222222222223,0.9777777777777777,1953.1598746081504,319,71.8401253918496
Shockoe Bottom,2,187,343,532,189,0.0037593984962406013,0.35150375939849626,0.6447368421052632,0.010582010582010581,0.9894179894179894,1919.5029013539652,517,105.49709864603483
Shockoe Slip,0,59,99,158,59,0.0,0.37341772151898733,0.6265822784810127,0.0,1.0,1896.46,150,128.53999999999996
